,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; you do realize though, that anything less then premium is pretty much a waste of money? you will not be able to download any demo&acute;s, trailers... not even game content. going to get halo 3? cool. what are you going to do when new maps come out? they probably won&acute;t fit on your memory card. and that&acute;s just h3. what are you going to do with all your other games then? i don&acute;t think you realize how crucial an hdd is.",3,,,
"&acute;&acute; so is raping and murdering 2 women. murder doesnt stop murder agreed. and if people want those criminals to &acute;suffer&acute;, putting them in a a containment center for the rest of their life is more satistfying than making him die and &acute;getting it over with&acute;, so to speak. it also waste tax money. kill em all. i think we should just shoot them. it&acute;s so much cheaper. it&acute;s not like anyone is gonna miss someone who raped a dozen women anyways.",3,,,
"&acute;&acute; so is raping and murdering 2 women. murder doesnt stop murder agreed. and if people want those criminals to &acute;suffer&acute;, putting them in a a containment center for the rest of their life is more satistfying than making him die and &acute;getting it over with&acute;, so to speak. it also waste tax money. kill em all. i think we should just shoot them. it&acute;s so much cheaper. it&acute;s not like anyone is gonna miss someone who raped a dozen women anyways.",3,,,
"alrighty, to start her off the bat, i&acute;m looking at taking the wireless leap and jumping off my steaming old laptop onto a nice spick and spam netbook. i&acute;ve got a price range of $300-450us to drop on one, so people that have a good knowledge of what to look for, or what models i should be looking into please fire away. intentions of use, -to surf the internet -read email -video conference and such like. cheers fellas, please help me out.",1,,,
"&acute;&acute; try taking a look at india and china first, and then you&acute;ll see what i mean. in fact, just look anywhere besides first world countries, and you&acute;ll see what&acute;s going on. but does that mean that the west should be solely responsible for trying to keep the earth&acute;s population down? hell no. we&acute;re all stuck on this planet. everyone ought to do their part to conserve natural resources and to be responsible with our decisions when it comes to producing children.",3,,,
"&acute;&acute; shes one of the only female actors that i find funny. i guess it helps to work at a resturant and seeing a lot of parallels between that and this movie. that chick scares the hell out of me, if you ever seen that movie with hotchick youll understand why, the part with her and her freind on the bleachers whe her freinds tellin her how she is now someone a dude, just watch her eyes, i cant take it lol",1,pos and neg,,
"r:fom but better off just waitin on that as its no longer worth $60, but if your foolish enuff to pay the askin price of warhawk then overpricein isnt somethin you seem to care about, theres ninja gaiden black, i woudl say oblivion goty but you said you got teh 360 so if you wanted that game youd of played it allready anyway, so other then those 3 theres nothin else worth it includein warhawk but hey its your money to waste",3,,,
"&acute;&acute; well, phil jackson at halftime of that game told kobe not to shoot as much because he scored at will in the first half but the lakers were still getting killed. i would be willing to bet that you didn&acute;t know that, though, since posting that link shows you(nor the writer of the article) don&acute;t know what the hell you&acute;re talking about. but make baseless claims, sure makes you look smart and informed! be mad that kobe is better that lebj..",3,,,
"&acute;&acute; are they strong? hell yes. are they super athletes? hell no. i&acute;m not saying that kickers are better athletes but to not consider them an athlete at all is hilariously stupid. kickers are athletes. stupid not to think so. big men in the nfl are just ridiculous though. and i don&acute;t mean all defensive tackles either. most defensive tackles are super athletes. but you have a few that are just fat dudes that are there to take up space, ya know?",3,,,
"&acute;&acute; well it did when there wasn&acute;t a national army and just a bunch of militia&acute;s. it&acute;ll never happen. there are too many people that feel that having a gun is their right. they will strike down whatever legislation comes up in regards to guns being banned. progress is slow, but i&acute;m sure the us will catch up with the civilized world sooner or later. explain. i&acute;m sure guns will be banned from private property in due time.8 years, 1 month ago",3,,,
"&acute;&acute; nice :) but hmm... will you be intending to use c4ds for your signatures? if so, as renders or backgrounds? yuo should learn how to use splines. hit f5, then grab the splines tool, draw some random stuff on 3 windows, add a loft nurb and drag the splines in there. copy and paste the nurb several times to get basic abstract shapes and start adding deformers. add a sweet perspective and some material and you&acute;re done.8 years, 1 month ago",2,,,
"&acute;&acute; and so is video games. then why are you on gamespot? he has no friends, duh. j/k maybe ranma 1/2(currently watching) its from the creator of inuyasha but i have to admit is gets episodic on maybe season 2. its a romantic comedy martial arts kind of thing. oh thats another one, ranma 1/2 is awesome u should watch it, maybe some parts will make you say &acute;what the hell is this!?&acute;, but u&acute;ll enjoy it anyway.8 years, 23 days ago",1,,,
"final fantasy iv, castlevania:order of ecclesia, phoenix wright games, kirby super star ultra, casltevania: dawn of sorrow, ketsui death label, rhythm tengoku gold, fire emblem: shadow dragon, final fantasy iii, bleach: dark souls, the world ends with you, pokemon diamond, contra 4 and a lot more that i can&acute;t think up of right now. raise your kids on hardcore so that they can be acutual gamers and not &acute;omg omg omg omg omg twilight omg omg omg omg omg&acute; when they&acute;re older.",2,,,
"i&acute;ve not even been able to play a game yet because: -i can&acute;t choose to host a game -can&acute;t find players from around my country or at least eu -i always connect with korean and chinese players which i cannot understand, and obviously cuases latency issues due to location -can&acute;t get into any &acute;steam groups&acute; servers because they&acute;re always full due to them hosting the tiny amount of 4 players. so far, left4dead has been a complete waste of money for me.",3,,,
"[quote=&acute;kamekazi_69&acute;][quote=&acute;-sun_tzu-&acute;][quote=&acute;slayer_of_bugs&acute;] if concealed to carry was allowed in that colorado town, i&acute;d bet that not as many people would&acute;ve died. yeah because what could go wrong with multiple people firing guns in a dark, smoke filled theater. dark, but visible. and i rather have someone pull out a concealed gun and fire at the &acute;suspected&acute; mass murderer than put my life on help that never came,..like the police. and how do you know who this mass murderer is during a spontaneous firefight?",3,,,
"[quote=&acute;kamekazi_69&acute;][quote=&acute;-sun_tzu-&acute;][quote=&acute;slayer_of_bugs&acute;] if concealed to carry was allowed in that colorado town, i&acute;d bet that not as many people would&acute;ve died. yeah because what could go wrong with multiple people firing guns in a dark, smoke filled theater. dark, but visible. and i rather have someone pull out a concealed gun and fire at the &acute;suspected&acute; mass murderer than put my life on help that never came,..like the police. and how do you know who this mass murderer is during a spontaneous firefight?",3,,,
wait this is excellent with raiden you can now finally act like a ninja hiding in the shadows blowing things up as a decoy and running at &acute;lightning&acute; speed. its better than snake because all he can do is crawl or camo. it isnt fun hearing rose or somtimes otacon xomplaining abt snake not taking enough rest or his psyche gauge is too low. with raiden it could be like install the grenade laiunceher in your arm or fix your laser gun,1,,,
"&acute;&acute; you forgot one *minor* detail. both of the twin towers were hit by huge commercial jets, and the marriott world trade center was destroyed as a result of the collapse of the twin towers. none of those variables were ever applied to the fire that inflicted the windsor tower. there was evidence of thermite on the steel columns, the towers fell at almost freefall speed. this can only mean one thing, what? the only thing that means is that you&acute;re misinformed.",3,,,
"&acute;&acute; you forgot one *minor* detail. both of the twin towers were hit by huge commercial jets, and the marriott world trade center was destroyed as a result of the collapse of the twin towers. none of those variables were ever applied to the fire that inflicted the windsor tower. there was evidence of thermite on the steel columns, the towers fell at almost freefall speed. this can only mean one thing, what? the only thing that means is that you&acute;re misinformed.",3,,,
"&acute;&acute; just got off the phone with them. $140 to fix it. to hell with that. wait a minute, you already had your 360 fixed right? i thought ms extended the warranty on fixed 360&acute;s to a year from the time of repair? shouldn&acute;t they fix it for free now? that&acute;s not what they told me. they said that had it been a few days after may 21st, they&acute;d repair it for free but since it&acute;s a month over, it&acute;s $140.",3,,,
"&acute;&acute; i feel the same way. they were good games but i couldn&acute;t find what was so special about them....:? i liked halo1. halo2 not so much. but halo 3, end of trilogy? hell yea i&acute;m excited. i want the last level to be all out war: humans (more spartans show up?), covenant, and the flood in all out war (with ships going at it overhead and tanks, banshees, etc. going at it on the ground)....i won&acute;t settle for any less....",1,,,
"i don&acute;t know about worst final boss, but every mortal kombat game has the worst 2nd to last bosses in history. the whole game is fun until you get to moloch, onaga, etc. where all you have to do is button mash and they hit you like twice and you die. those fights are so aggravating. that is why i like deadly alliance so much, because there is no big goof in the game that hits you twice and you die.",3,pos and neg,,
"[quote=&acute;trubluah&acute;]wow, so many shallow people. i&acute;m pretty sure some of you are probably less then half as attractive to a girl you like, yet you&acute;ll sit there take a potential girl who is very attractive, but is either smart as a door stop, or wickedly self centered or egotistical. the irony... and pitty for those who think that visual attraction = romantic relationship... :roll: ya that makes a lot of sense... where the hell did you infer all of this from?",3,,,
"&acute;&acute; what does going to the same school as gay people have to do with anything? i actually had gay friends. from the way you are talking you probably completely avoided them. if you try to say that you have hung out with gay people everyone is giong to know that you are lying. you missed the point completely. you assume ive never been in a situation where there was gay influences, which was bold and ignorant.6 years, 1 month ago",3,,,
"&acute;&acute; i&acute;m pretty sure that gay men can get women pregnant, but it would be hard because they aren&acute;t even attracted to women. this was my question, i know that gay men can get women pregnant, people that isn&acute;t what i was asking!! i was asking if they could because it would be hard because they arent attracted to women. does everyone get it now, or should i rephrase it again?? :p sure, throw some gay porn on the tube. :|",2,,,
"&acute;&acute; i will believe it once you get some pics, why would you buy 3dmark? just download it. wtf that would be better than alphas computer i will not believe this untill i go to your house or see pics of each and every part with a piece of paper with your name on it also this is your second post i find this very strange indeed dont post specs like this with out proff it does no good to lie",3,,,
"&acute;&acute; lol you&acute;re either a girl or just one of the haters. she is far from ugly, but definitely not the hottest thing in the world. my name is supa_badman does that sound like a girls name??? lol i agree that she isnt hidious, but i still wouldnt hit that :lol: not worth the price. well of course not for the price, but if she were just willing, or even better, drunk and willing,...... pssh well then yes of course!!! :d",1,positive sentiment but negative/sinister? motive,,
"&acute;&acute; it&acute;s not that, what got to me was that they can nolonger use alchemy and now live in 1930&acute;s europe. what the hell is that!? yeah, they could&acute;ve ended it better. i wish it would&acute;ve ended with ed, and al back in their world, and then maybe in a few years they could have done a sequel series (not sure what it could be about though) i would have been ok with that actually. but damn i just feel cheated.",3,,,
"in 2012, palin is going to have absolutely no impact on the presidential election. no one cares about her anymore, and there&acute;s no chance in hell she gets even close to winning the nomination, let alone the general election. how many losing vice presidential candidates have gone on to be significantly successful in politics later on in their lives? dan quayle, a man who actually was vice president, couldn&acute;t even get his feet of the ground when he ran in 2000.",3,,,
"i&acute;d say just be a man and respectfully tell her that you realize she&acute;s in a relationship, but you have had feelings for her for a long time. i wouldn&acute;t make moves, though. it&acute;s pretty low to wait for her boyfriend to go to college and then hit on her. she is in a relationship and you should respect that, she could look at it as &acute;well, he&acute;s obviously willing to break a couple up, what kind of guy is this?&acute;",3,,,
"a dude slept with my ex, (i was dating her at the time) i found out about it and i was going over to kick his ass but somehow he found out that i was coming over so when i got there, there was 5 guys waiting for me. yeah i got my ass kicked but o well, the next week i got a whole bunch of my friends together and we jumped them in the caf. good ol&acute; high school.",1,,,
"there are people who&acute;ve made it to level 20 with only about a hundred posts. how in the hell do they do that? one guy the other day says he&acute;s been here for 4 years, and he only had 143 posts and was like level 20. how the heck? i mean, thats less than 1 post a week. thats like 2-3 posts a month. the whole point of having an account here is to post. am i right? what the ess?",3,,,
"something slow and painful just as long as it doesn&acute;t involve having body parts getting cut off, anything else i don&acute;t mind. probably something like being tortured by terrorist and die from lots of blood loss sounds fun. or maybe i should go with a bang which could mean getting myself blown up somehow or get into a gun fight until i get killed, though i don&acute;t really want to kill anyone suppose i will just have to try and miss.",1,positive sentiment about (method of) death,,
"something slow and painful just as long as it doesn&acute;t involve having body parts getting cut off, anything else i don&acute;t mind. probably something like being tortured by terrorist and die from lots of blood loss sounds fun. or maybe i should go with a bang which could mean getting myself blown up somehow or get into a gun fight until i get killed, though i don&acute;t really want to kill anyone suppose i will just have to try and miss.",1,,,
&acute;&acute; i&acute;ll be sure to do that. i wouldn&acute;t want people getting sick/hating the food because of me. :x it&acute;s ok if you do it too the real douchbags who come up sometimes. hell i had a customer throw food at me simply because i spoke the truth. unfortunetly they were black sometimes i&acute;m real disappointed at my race. we all must listen to tupacs song changes. wtf?! why would they throw food at you? did the manager kick them out?,3,,,
"....what a wierd question. :? i would most likely care. i probably wouldn&acute;t buy the game either. it just doesn&acute;t seem like some gay guy would try to save the world. i doubt they will ever do that though. it wouldn&acute;t be a smart move at all. i would think, though, that it would ruin a lot of final fantasy fans. because they can&acute;t say that they have every final fantasy, if they don&acute;t have the one with the gay character.",3,,,
"1. gather up family and closest friends. 2. pile into cars and head to the nearest gun shops. (both about 10 mins. away) 3. head to nearest army surplus store and load up on mre&acute;s 4. head back to my house. 5. barricade windows, doors,etc. 6. get to top floor. 7. demolish staircases 8. arrange who goes in what rooms. 9.lock &acute;n&acute; load. 10. kick a** i am a hardcore member of zs, hotel 23, military photos, and numerous survival forums.",2,,,
&acute;&acute; it&acute;s pathetic because a child does not have the capacity to reason the way an adult does. i&acute;m not saying that spanking should be an end all. i&acute;m just saying that i believe it should not be illegal as it is a concious parenting choice. there is a huge difference between discipling your child to better them and child abuse. i can&acute;t think of a situation where i think it would be acceptable for a parent to hit their child.,3,,,
"[quote=&acute;no_more_fayth&acute;] [quote=&acute;angrules23&acute;] i don&acute;t get this question. you f*** someone you&acute;re attracted to and you go out with someone you&acute;re attracted to but who you connect with. it&acute;s simple why would i ever f*** an ugly b**** that&acute;s just not part of my modus operandi, if i don&acute;t think to myself &acute;damn i&acute;d hit that&acute; then i stay away. you are a respectful, chivalrous gentleman. why do you need to use the sarcasm? and what is wrong with what he said?",3,sarcasm,,
"&acute;&acute; &acute;f*** you&acute;?:? and he seriously thinks he&acute;s a grown ass man. he also think that he&acute;s god&acute;s gift to women. he&acute;s a womanizer of sorts. :lol: i seriously meant to add the word &acute;up.&acute; my bad. :o but yeah, just do what i said. :lol:i&acute;m also thinking about doing that.(threatening him). he knows that a fight with me would be gruesome for him. but the problem is that i haven&acute;t seen him really. he stays away from his &acute;black family&acute;.",3,sarcasm,,
i think the price is going to drop on it soon. the hd-a2 just hit 199 today(with 5 free movies and a hdmi cable) if you look hard on the net so a 199 add on is a ripoff. i really think it will drop to 129 very soon. like maybe the 1st with the other price cuts that could be comming for the 360. if you want one i would hold off until the first or get the hd-a2 now.,2,,,
"&acute;&acute; i agree dude... this is sounding like mw2 alll over again... hell no no where near close. only hardcore players would honestly care. i&acute;m an honest hardcore gamer. my clan had to sell our serverbox with the news that we wouldn&acute;t be able to host our own cod4 servers. goodbye quad xeon, 16gb ram serverbox - thanks activision for making us &acute;subscribe&acute;, and succum to gameservers.com big business wins. small clans loose. goodbye cod. goodbye activision. you&acute;ve cost us dearly.",3,,,
"[quote=&acute;vfanek&acute;]no storyline to be heard of, the sniping is just like what you&acute;d expect based off the gameplay videos. on hard the ai is a bit too psychic, but stealth is definitely important - you can die fast. also looks nice while it&acute;s not a performance hog. definitely quite enjoyable, granted i haven&acute;t finished it yet. if you want a sniping game i don&acute;t think there&acute;s any better option. not too shabby at all. thanks mate, your words are greatly appreciated.",1,,,
"i&acute;l do you one better. mine load fine, but they still load poorly compressed videos that in my opinion are going to turn newbies off the game than it will turn them on to the game. a few clicks on teh internet and you can find much better videos that shows off the games beautiful visuals. metroid prime 3 channel seems like a waste of time imo, nintendo should have been a little more creative in that aspect of the marketing.",2,,,
"&acute;&acute; thats not a mistake tho, you made the choice to cheat on the person you love and care about, thats no mistake, you did that for a reason a bad choice is a mistake. not to me its not, cheating is one of the choices someone makes that i cannot accept as a mistake, like i said i could never forgive a cheater but hey for all of you that can then cool and hope it worked out for you",2,,,
"i like it, but it annoys the hell out of me. hate the commercials, hate the new rules, hate how slow the game is, hate all the emphasis on passing and offense and neutering of defense. hate how it gets more coverage of it&acute;s preseason and draft than actual meaningful games in the nba, mlb, or nhl. i watch it when it&acute;s on, but it&acute;s really a distraction till basketball comes back in october. i like basketball, hockey, and baseball better.",3,,,
"&acute;&acute; jerks always get the girl. need i cite some f&acute;ing examples?and what the hell marks the difference between nice and doormat? and how does one fine the damn balance? does it change between women? give us some examples then, and make sure they&acute;re not virtual. if you actually read the posts we&acute;ve been making for the past two pages instead of ranting about your lack of a love life, then maybe you would have better success with the opposite sex.",3,,,
"&acute;&acute; same. and the fact that i&acute;m an ugly mofo doesn&acute;t help.... being ugly is no excuse. i look like i been hit with a bagful of hot nickels and i got a woman, and a cvery cute one at that. rotflmfao..... hit with a bag of hot nickles?!?!?!? i&acute;m soooo going to have to do that to someone now... you just caused some random guy a lot of pain i hope you know... lmfao... hit him once for me too.",3,,,
"well hes probably just worried about you going out and doing some of that stuff after you play the game... so id recommend you just go outside right now and go hit up some hookers, steal some cars, and blast fools in the face..just to let him know your gonna do that stuff with or without the game.... after that he might as well let you have it so that you do that stuff inside rather than to real people outside..",2,,,
"&acute;&acute; you live forever, getting older... and older... i think they covered this in twilight zone or the outer limits. anyway: i wish i was a vampire that didn&acute;t have to kill or suck blood to survive. it&acute;d be pretty sweet to not have the sun kill me, too. granted, but they still stab a stake through your heart because you&acute;re still a vampire, even if you don&acute;t kill or murder people. :p i wish that 1up actually wrote decent reviews.",2,,,
&acute;&acute; 100% agree. venom should have been a prime-time villain. for some reason sam raimi had a hard on for sandman. he didn&acute;t even want venom in the movie. it was forced on him and it showed. i think the golden rule for villains is just have 2 at most. they always screw up bad when they do more. hell new goblin would&acute;ve been awful even if it was just him and sandman.....he was a ****ing ninja on a flying skateboard,3,,,
"article &acute;rock who slapped the drummer and when lee attempted to fight back rock punched him in the face&acute; ha ha ha, tommy lee got his ass kicked. i&acute;m kind of glad this happened cause if you ever watched those paparazzi shows on e lee is always the one smashing cameras and fighting people so it couldn&acute;t have happened to a nicer guy. cheap shot in 3...2...1...looks like the only one tommy lee can beat up is pamela anderson, hay ohhhh!!!!",2,,,
"&acute;&acute; fire emblem!!! i totally forgot about it. probably the best nintendo franchise that would actually work in a mature theme. indeed. and of course i just don&acute;t mean adding blood to the battle animations either. fire emblem deals with lots of mature themes such as permanent death (which oddly enough very few games do), racism, war crimes, genocide, etc. i can certainly see these themes being carried a step forward and portrayed in a more provocative, impactful way successfully.",1,,,
"&acute;&acute; i kinda laughed at how little the fire does. first off, it doesn&acute;t really look all that great (although very few games can make fire look good), and second, it had no effect when guys were going through flaming tables, getting hit with flaming 2x4s, etc...nothing different happened, from what i saw. yeah. no selling of it, or the guy being on fire, or even any mention from the announcers. ... but its on fire. its teh kewlness. but...but...:o",3,,,
"&acute;&acute; :o tenfold. you should purchase tes3 morrowind goty edition and really get into it. now. just mind that it&acute;s...around 7 years old. no worries there. old games do not bother me. i believe the gamestop near me has it in stock. maybe i will have to yeah, you have to. :p you won&acute;t be disappointed. i am, however, one of those guys who played the hell out of morrowind when it came out....and was thoroughly disappointed with oblivion. :(",2,,,
"mission accomplished retro/nintendo. last night i was over at my friends house playing multiplayercall of duty 2 on 360, and after playing a couple of matches, i was left thinking &acute;wow, this would be so much better if i had a wii remote for this&acute;. and since i suck at most competitive first person shooters most of my comebacks after i died were &acute;oh yeah, well if this was metroid prime 3 i wouldn&acute;t have missed and you&acute;d be dead&acute;.",2,,,
"&acute;&acute; wut in the **** is that a steep tech? i wouldn&acute;t know how else to describe it, but a sauna in -20 degrees. wait, i just realised and yes i&acute;m super late but...what the ****? this mans username is definitely a combination of teams from jersey, philly, and ny and you don&acute;t know what the hell a steep tech is!? :lol: lmao, somebody hasn&acute;t to been to any of these states. (edit, don&acute;t take it personal, just making fun)",2,attacking (?) someone w/o neg sentiment - playing around,,
"sorry to burst your bubbles but there is no way in hell god of war will be magically rendered in full 1080p at 60 fps. it would be nice to see one game that actually does 1080p on the ps3 - not cheap misguiding upscaling. even games like wipeout that are supposed to be 1080p for the point of being are tricked up upscaled flicks. can&acute;t wait for the game however, certainly one of my most awaited games of 2009.",3,,,
"&acute;&acute; don&acute;t waste your money. gameplay wise, its the same as the ps2 versions. graphics for some players are amazing, but only a select few. the rest just look generic and not much better than last gen. all in all, this game is just a rush job and i certainly wouldnt call it &acute;next gen.&acute; while that sounds like a harsh review, i don&acute;t mean it that way. it is a decent game, i just don&acute;t feel its worth $60",3,,,
"what did i fail to read? you&acute;ve been foolishly claiming the subscription model is dead for the past 6 months is some thinly veiled attempt to justify why tor doesn&acute;t suck and how it is simply just a victim of circumstance and a changing tide, so you find some half-assed article to &acute;support&acute; your pie-in-the-sky claim as proof or evidence. what exactly am i missing? funny how the very first comment on that article pretty much agrees with me, too.",3,,,
alright... this whole fps talk is getting a little crazy. 30 fps is very good. if the game never goes below that there will never be a hiccup! here&acute;slink to a video of a guy with a computer (similar... hmmm... strange... to the one i have in my sig) he get&acute;s 540 fps on fear. does he need 540 fps to enjoy fear? hell no! so why? just because it&acute;s a another competition about the size of your ****. http://www.youtube.com/watch?v=luqb_tmy-jy,2,,,
"&acute;&acute; how the hell is that relevant to the taste of food? besides, you can taste second hand smoke. it isn&acute;t; but the topic isn&acute;t about the taste of fried chiken alone. you can make an opinion about it without tasting it imo. do you like this food? == do you like the taste of this food? what the hell else would you mean when you ask that? &acute;what is your opinion on the healthiness of this food?&acute; **** that.",3,,,
"&acute;&acute; no, it is a right. nobody is required to take certain tests, prove their competance at certain tasks, meet certain criteria, in order to get married. it isnt discrimination like racial. gay people are allowed to get married. you can be gay and still be allowed to marry a person of the opposite sex. the comparisons to racial discrimination dont work. either you don&acute;t know what gay means or you are rationalizing your bigotry to make yourself feel better.",3,,,
"&acute;&acute; it should be....it was your rebuttle...:roll:...but i&acute;m going to assume that you thought the maginot line was a great achievement and sound wartime strategy....... you are aware that the whole british colony that is/was america got their ass kicked 10 to 1 by the french for centuries :d frankly except for world war 2, i don&acute;t see a tiny winy bit of awesome 1:1 war won by the us... oh wait ww2 wasn&acute;t 1:1... ya not that great really.",3,,,
here are a few of my favorite wallpapers. all are found at this site. ..... ok...... or not. i won&acute;t let me put any pictures into the page... i guess... i&acute;ll just..... wait i have an idea. [img] haha!!! it worked. alright. where was i? oh yes... here&acute;s the rest. [img] [img] that one is hong kong... it&acute;s water looks freakishly smooth. [img] and i&acute;ll end with hal [img] hopefully when i hit the submit button gamespot won&acute;t crash. enjoy.,1,,,
thats a cool idea at least fot gba game displays as far as gb/gbc games go i think you&acute;re out of luck. i dont think you can make a ds case out of cardstock :p if you mean making gba boxes i&acute;d just buy display boxes of games that suck since theyll be cheap and just take the inserts out of them and make the actual box yourself cuz you can just trace their shape from an actual gba box,2,,,
"&acute;&acute; i&acute;m lol-ing at you guys, lol no, you are lol-ing at the person you are talking to, not us guys. exactly i&acute;m laughing at all you guys when i respond to you cause you&acute;re all goofy as hell and it makes me lol ...*walks away slowly* see what i mean? :lol: walks away slowly lol wtf give me a break lol :lol: not trying to start something here but the way you react to everything just makes me laugh.",2,,,
"&acute;&acute; now theokoth, you are sounding awfully ignorant right now. it&acute;s okay, we&acute;ll be implanted with our microchips by the lizard people soon, and then all of our worries will be over. all hail the lizard people! and i, for one, welcome our new ant-i mean-lizard overlords. ants? uh-oh, am i going to be punished for all my years of setting ants on fire with my magnifying glass and drowning entire colonies with my gardening hose?6 years, 1 month ago",3,,,
on the subject of emotion and irrationality: &acute;this is **** i got **** banned for posting an unpopular opinion in the thread for **** unpopular opinions your **** board is a **** lie you all **** in your mouths and act like your **** geniuses for **** doing it and you talk **** about my mom when you **** ban me like some **** **** ass **** because youre too much a **** **** to talk **** to my face&acute;,3,,,
on the subject of emotion and irrationality: &acute;this is **** i got **** banned for posting an unpopular opinion in the thread for **** unpopular opinions your **** board is a **** lie you all **** in your mouths and act like your **** geniuses for **** doing it and you talk **** about my mom when you **** ban me like some **** **** ass **** because youre too much a **** **** to talk **** to my face&acute;,3,,,
"i dont get why they have a riddler, the joker is pretty much the same concept... i just dont get what creators were thinking, lack of imagination and creativity if you ask me. and why the hell are we following old patterns? the next movie is gonna have two face, which is great, but why the hell are we teaming him up with the god damn riddler? riddler is just a gay version of the joker if you ask me.",3,,,
"i dont get why they have a riddler, the joker is pretty much the same concept... i just dont get what creators were thinking, lack of imagination and creativity if you ask me. and why the hell are we following old patterns? the next movie is gonna have two face, which is great, but why the hell are we teaming him up with the god damn riddler? riddler is just a gay version of the joker if you ask me.",3,,,
"&acute;&acute; they&acute;re just being honest...unlike some other users >.> wow, what gives you the right to say that? you just said everyone who selected no is a liar. therefore a racist. oh, did i really? can you please show me where i said &acute;all&acute;? either way, what gives you the right to say some, and define how many is some. there is only 70 on that list some in your definition could mean 60. that&acute;s one hell of a percentage.",3,,,
"my friends cat was like 20 a few years before he died. i recently had to put down my year old cat because he was hit by a car and broke the end of his spine. we didnt know what was wrong with him, we just thought he was poisened (he had the symptoms for it). but he couldnt walk or pee and poo so we took him to the vet a few days after (my parents dont like vets).",2,,,
"&acute;&acute; if you have to ask, you&acute;ll never understand. translation, &acute;i don&acute;t know, but it sounded smart didn&acute;t it?&acute; it is sort of difficult to explain, especially over the internet. a lot of baseball is making educated guesses. knowing the right time to steal a base, the right time to bunt, the right time to hit and run, the right time to throw a changeup, the right time to throw inside...and so on and so on.6 years, 20 days ago",2,,,
"&acute;&acute; i dont think you can use the phone....in fact im positive, i read on some website it only accepts american att signals....i dont understand that because what if you are traveling??? and id just wait anyway....the uk phone is gonna get to have t-mobile as a service provider, which is a hell of a lot better than att....and by then they will have fixed all the bugs, added new features and you will just get an overall better phone...",2,,,
":lol: take from it what you will, but, when im on the internet gamer sites, its a cod trashfest. when i talk to the guys at the gun club i belong to, military guys i know, or just other guys my age in gereral, everyone plays modern warfare. i wouldnt expect the demographic around here to know, but as far as accurately presenting or representing firearms in a video game, there is absolutely no competition, its modern warfare hands down.",2,,,
"i was just about to post a topic about the club as well. i never heard anything about this game so i went into the demo blind. oh man, i was so surprised at how much i actually [strike]enjoyed[/strike] loved this game. i do have one gripe though, the controls are quite bad. when i shoulder my gun the movement should slow down by far. (yes, i changed all the controls to super low). i just love the announcer. 'nemo...fight!'",1,,,
"no. i doesn&acute;t really bother me because i think it isn&acute;t really dangerous anymore and isn&acute;t really that relevant either. hate groups like the klan are so insignifigant it&acute;s almost funny. it&acute;s just kind of pathetic. i&acute;m not going waste the engery to get mad over 300 rednecks who meet outside the trailer park. obviously there are exceptions, but i wouldn&acute;t really worry about it unless white supremacy began to gain strength in america or something which is probably unlikely.",3,,,
"&acute;&acute; my sexual orientation isn&acute;t really necessary to the discussion, as one&acute;s sexuality and one&acute;s sex are two unrelated topics, but i&acute;ll give you a hint. what is the sexuality of most women in the world? which sex are women most often attracted to? :p oh i see;). but the reason i asked you that is because sometimes lesbians have penis envy. like they wish that they were a man. or a gay man wishes that he was a woman.",2,,,
"&acute;&acute; okay. only 1.5 have to do with the nfl. but for the hell of it, i&acute;ll throw another one at you. remember when that one guy fell into a tigers cage in the zoo, and the tigers killed him? why&acute;d they put the tigers to sleep? that&acute;s what suppose to happen, tigers eat meat. and to top it all off, you have him in an artificial habitat, away from it&acute;s home. i&acute;d be pretty pissed off at humans too.",2,,,
"how about you first do your research before creating a topic like this. you can do random battles against anyone in the game (much like you can for most if not all ds wi-fi games). fc&acute;s are not a &acute;must&acute; to be able to play online, fc&acute;s are their so you can play specifically against your freinds, hence the term friend codes. and yes friend codes are 12 digits, and no your not going to die typing in those digits...=|",3,,,
"[quote=&acute;ssubzeroo&acute;][quote=&acute;-chimera-&acute;][quote=&acute;ssubzeroo&acute;] if we are some how god&acute;s master plan, why is it that everything is slated by our observations to be much older than us, as well as last much longer after we die out as a race? because it makes sense for a divine creator to intentionally deceive his creations for the sake of testing their faith. this is just another hopeless tactic of trying to warp your observations to fit your conclusion... i wasn&acute;t being serious, but okay.",3,,,
"&acute;&acute; that may be true. there are thousands of people who go in there expecting to enjoy killing someone else, and then they find out that they can&acute;t handle it. at least they have the courage to keep their word. i wouldnt call that courage. if somone goes there and only then realizes how wrong the killing is, id respect them more for dropping the gun and doing the jail time instead of keep killing untill theyre out of there.",2,,,
"&acute;&acute; why not get those games now and get another games in october. waiting 8 months seems like a lot to me :? yeah i was gonna say spending an extra $60, eight months earlier than ur gonna seems like a deal. plus what if they dont have that deal well because they will they, and spendin $60 now that i dont have isnt a deal, but spendin $120 on 3 $60 games later is a hell of a deal",2,,,
"i know the d&acute;angelo album will be awesome, and the badu album will be at least solid. everything else is hit or miss. i&acute;m excited for the-dream&acute;s second album but who knows how the lil jon collabo will work out? detox probly isn&acute;t coming out, relapse will suck, blueprint 3 will probly be meh. i&acute;m excted for the andre 3000 and busta rhymes though, and i hope the mos def will be dope but i don&acute;t exactly have high hopes.",1,,,
